r1609	1,2-Dihydronaphthalene	naphthalene 1,2-dioxygenase	Naphthalene
R07016	1,2-Dihydronaphthalene-1,2-diol 	unspecific monooxygenase	1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene
R07015	1,2-Dihydronaphthalene-1,2-diol 	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	Naphthalene-1,2-diol 
R07703	1,2-Dihydrophthalic acid 	cis-1,2-dihydrobenzene-1,2-diol dehydrogenase	Phthalate 
r0216	1,2-Dihydroxy-3-methylcyclohexa-3,5-dienecarboxylate	1,2-dihydroxy-3-methyl-cyclohexa-3,5-diene-carboxylate dehydrogenase	3-Methylcatechol
r1171	1,2-Dihydroxy-5,6,7,8-tetrahydronaphthalene	1,2-dihydroxy-5,6,7,8-tetrahydronaphthalene extradiol dioxygenase	4-(2-Oxocyclohexyl)-2-hydroxy-buta-2,4-dienoate
r0224	1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate	1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate dehydrogenase	3-Methylcatechol
R05314	1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate 	1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate dehydrogenase	2,3-Dihydroxytoluene
r0764	1,2-Dihydroxy-7-hydroxymethylnaphthalene	1,2-dihydroxy-7-hydroxymethylnaphthalene dioxygenase	2-Hydroxy-7-hydroxymethylchromene-2-carboxylate
r0790	1,2-Dihydroxy-8-carboxynaphthalene	1,2-dihydroxy-8-carboxynaphthalene dioxygenase	2-Carboxy-2-hydroxy-8-carboxychromene
r0781	1,2-Dihydroxy-8-methylnaphthalene	1,2-dihydroxy-8-methylnaphthalene dioxygenase	2-Hydroxy-8-methylchromene-2-carboxylate
r0162	1,2-Dihydroxydibenzothiophene	dihydroxydibenzothiophene dioxygenase	cis-4-[2-(3-Hydroxy)-thionaphthenyl]-2-oxo-3-butenoate
r0422	1,2-Dihydroxyfluorene	1,2-dihydroxyfluorene 1,1a-dioxygenase	2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoate
R05412	1,2-Dihydroxyfluorene 	1,2-dihydroxyfluorene 1,1a-dioxygenase	2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic acid
r1513	1,2-Dihydroxymetamitron	2,3-dihydroxymetamitron 1,2-dioxygenase	3-Methyl-4-amino-6-(2-hydroxymuconate)-1,2,4-triazin-5(4H)one
r0336	1,2-Dihydroxynaphthalene	1,2-dihydroxynaphthalene dioxygenase	2-Hydroxychromene-2-carboxylate
r0324	1,2-Dihydroxynaphthalene-6-sulfonate	1,2-dihydroxynaphthalene-6-sulfonate 1,8a-dioxygenase	(Z)-4-(2-Hydroxy-5-sulfonatophenyl)-2-oxo-3-butenoate
r0569	1,2-Dihydroxyphenanthrene	1,2-dihydroxyphenanthrene glycosyltransferase	2-Hydroxy-1-phenanthryl-beta-D-glucopyranoside
r0917	1,2-Dinitroglycerol	xenobiotic reductase	2-Mononitroglycerol
r0918	1,2-Dinitroglycerol	xenobiotic reductase	1-Mononitroglycerol
r0750	1,3(R),4(S),5(S),6(R)-Pentachlorocyclohexene	No enzyme supplied	1,2,3-Trichlorobenzene
r0751	1,3(R),4(S),5(S),6(R)-Pentachlorocyclohexene	No enzyme supplied	1,2,4-Trichlorobenzene
r0550	1,3(R),4(S),5(S),6(R)-Pentachlorocyclohexene	gamma-hexachlorocyclohexane dehydrochlorinase	1,3(R),4,6(R)-Tetrachloro-1,4-cyclohexadiene
r0556	1,3(R),4,6(R)-Tetrachloro-1,4-cyclohexadiene	No enzyme supplied	1,2,4-Trichlorobenzene
r0551	1,3(R),4,6(R)-Tetrachloro-1,4-cyclohexadiene	haloalkane dehalogenase	2,4,5-Trichloro-2,5-cyclohexadiene-1-ol
R05369	1,3,4,6-Tetrachloro-1,4-cyclohexadiene 	haloalkane dehalogenase	2,4,5-Trichloro-2,5-cyclohexadiene-1-ol
r1322	1,3,7-Trimethyluric acid	urate oxidase	3,6,8-Trimethylallantoin
r0060	1,3-Dichloro-2-propanol	halohydrin epoxidase B	(R)-3-Chloro-1,2-epoxypropane
r0056	1,3-Dichloro-2-propanol	halohydrin epoxidase A	(RS)-3-Chloro-1,2-epoxypropane
r0871	1,3-Dinitro-1,2,3,4-tetrahydro-1,3,5-triazine	unspecific monooxygenase	1-Nitro-1,2-dihydro-1,3,5-triazine
r0042	1,3-Dinitroglycerol	xenobiotic reductase	1-Mononitroglycerol
r0534	1,4-Dichlorobenzene	Enzyme record not found	Chlorobenzene
r0653	1,4-Dichlorobenzene	chlorobenzene dioxygenase	3,6-Dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene
R07019	1,4-Dihydroxynaphthalene	No Kegg enzyme supplied	1,4-Naphthoquinone
r1573	1,4-Dioxane	1,4-dioxane etherase	Ethylene Glycol
r1571	1,4-Dioxane	1,4-dioxane monooxygenase	Dioxanone
R05309	1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate 	No Kegg enzyme supplied	2,3-Dihydroxytoluene
R00813	1,6-Dihydroxy-cis-2,4-cyclohexadiene-1-carboxylic acid 	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	Catechol
r0948	1,6-Dihydroxypyrene	No enzyme supplied	Pyrene-1,6-dione
R07682	1,6-Naphthalenedisulfonic acid 	Oxidoreductases; Acting on paired donors with incorporation of molecular oxygen; Miscellaneous	1,2-Dihydroxynaphthalene-6-sulfonate
r0951	1,8-Dihydroxypyrene	No enzyme supplied	Pyrene-1,8-dione
R08322	10-Hydroxycarbazepine	No Kegg enzyme supplied	Dihydroxycarbazepine
r1122	11,12-Dihydroxybenzo(a)pyrene	11,12-dihydroxybenzo(a)pyrene methyltransferase	Hydroxymethoxybenzo(a)pyrene
r1285	17beta-Hydroxyandrosta-1,4-diene-3-one	beta-hydroxysteroid dehydrogenase	Androsta-1,4-diene-3,17-dione
r0357	1-Aminocyclopropane-1-carboxylate	1-aminocyclopropane-1-carboxylate deaminase	2-Oxobutanoate
R05385	1-Chloro-2,2-bis(4'-chlorophenyl)ethane	Lysases; Carbon-halide lyases	unsym-Bis(4'-chlorophenyl)ethylene
R05477	1-Chloro-2,2-bis(4'-chlorophenyl)ethane 	No Kegg enzyme supplied	2,2-Bis(4'-chlorophenyl)ethanol
r0519	1-Chloro-2,2-bis(4'-chlorophenyl)ethane (DDMS)	Enzyme record not found	2,2-bis(4'-Chlorophenyl)ethanol (DDOH)
r0515	1-Chloro-2,2-bis(4'-chlorophenyl)ethane (DDMS)	DDMS dehydrochlorinase	unsym-bis(4'-Chlorophenyl)ethylene (DDNU)
R05398	1-Chloro-2,2-bis(4'-chlorophenyl)ethylene	DDMS dehydrogenase	1-Chloro-2,2-bis(4'-chlorophenyl)ethane
r0514	1-Chloro-2,2-bis(4'-chlorophenyl)ethylene (DDMU)	DDMS dehydrogenase	1-Chloro-2,2-bis(4'-chlorophenyl)ethane (DDMS)
r1679	1-Chloroacetyl-2,3-dihydro-7-ethylindole	1-chloroacetyl-2,3-dihydro-7-ethylindole amidohydrolase	7-Ethylindole
r1679	1-Chloroacetyl-2,3-dihydro-7-ethylindole	1-chloroacetyl-2,3-dihydro-7-ethylindole amidohydrolase	Chloroacetate
r0603	1-Dodecanol	alcohol dehydrogenase	Dodecanal
R08106	1-Fluorocyclohexadiene-cis,cis-1,2-diol	No Kegg enzyme supplied	Catechol
r0423	1-Formyl-2-indanone	No enzyme supplied	2-Indanone
r1472	1H-4-Oxoquinaldine	1H-4-oxoquinaldine 3-monooxygenase	2-Methylquinoline-3,4-diol
r1040	1-Hydro-1,1a-dihydroxy-9-fluorenone	1-hydro-1,1a-dihydroxy-9-fluorenone dehydrogenase	2,3-Dihydroxy-2'-carboxybiphenyl
r0485	1-Hydroxy-2-naphthaldehyde	1-hydroxy-2-naphthaldehyde dehydrogenase	1-Hydroxy-2-naphthoate
r0491	1-Hydroxy-2-naphthoate	1-hydroxy-2-naphthoate hydroxylase	1,2-Dihydroxynaphthalene
r0486	1-Hydroxy-2-naphthoate	1-hydroxy-2-naphthoate dioxygenase	trans-2'-Carboxybenzalpyruvate
R05632	1-Hydroxy-2-naphthoate 	salicylate 1-monooxygenase	Naphthalene-1,2-diol
R07657	1-Hydroxy-2-naphthoate 	1-hydroxy-2-naphthoate 1,2-dioxygenase	(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate
r1308	1-Hydroxy-4,4-dimethylpentan-3-one	1-hydroxy-4,4-dimethylpentan-3-one dehydrogenase	4,4-Dimethyl-3-oxopentanal
r0956	1-Hydroxy-6-methoxypyrene	1-hydroxy-6-methoxypyrene methyltransferase	1,6-Dimethoxypyrene
r0786	1-Hydroxymethylnaphthalene	alcohol dehydrogenase	1-Naphthaldehyde
r0946	1-Hydroxypyrene	1-hydroxypyrene 6,7-monooxygenase	1-Hydroxypyrene-6,7-oxide
r0949	1-Hydroxypyrene	1-hydroxypyrene 7,8-monooxygenase	1-Hydroxypyrene-7,8-oxide
r0952	1-Hydroxypyrene	1-hydroxypyrene sulfotransferase	1-Pyrenylsulfate
r0953	1-Hydroxypyrene	1-hydroxypyrene methyltransferase	1-Methoxypyrene
r0947	1-Hydroxypyrene-6,7-oxide	No enzyme supplied	1,6-Dihydroxypyrene
r0950	1-Hydroxypyrene-7,8-oxide	No enzyme supplied	1,8-Dihydroxypyrene
r0416	1-Indanone	1-indanone monooxygenase	3,4-Dihydrocoumarin
r0417	1-Indanone	1-indanone dioxygenase	3-Hydroxy-1-indanone
r0954	1-Methoxypyrene	1-methoxypyrene 6,7-monooxygenase	1-Methoxypyrene-6,7-oxide
r0955	1-Methoxypyrene-6,7-oxide	No enzyme supplied	1-Hydroxy-6-methoxypyrene
r0779	1-Methylnaphthalene	naphthalene 1,2-dioxygenase	cis-1,2-Dihydroxy-1,2-dihydro-8-methylnaphthalene
r0795	1-Methylnaphthalene	1-methylnaphthalene hydroxylase	1-Hydroxymethylnaphthalene
r1331	1-Methylxanthine	heteroxanthine demethylase	Xanthine
r0044	1-Mononitroglycerol	xenobiotic reductase	Glycerol
r0787	1-Naphthaldehyde	1-naphthaldehyde dehydrogenase	1-Naphthoic acid
R07698	1-Naphthalenesulfonic acid 	Oxidoreductases; Acting on paired donors with incorporation of molecular oxygen; Miscellaneous	Naphthalene-1,2-diol 
r0773	1-Naphthoic acid	1-naphthoic acid dioxygenase	cis-1,2-Dihydroxy-1,2-dihydro-8-carboxynaphthalene
R07018	1-Naphthol	No Kegg enzyme supplied	1,4-Dihydroxynaphthalene
